"Disparities in Perimyotis subflavus body mass between cave and culvert hibernacula in Georgia, USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ferrall, E.A.1,2, S. Perea1, K.M. Morris2, P.E. Pattavina3, B.J. Irwin4, J. Hepinstall-Cymerman1, and S.B. Castleberry1*",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1Warnell School of Forestry and Natural Resources, University of Georgia, 180 E Green Street, Athens, GA 30602, USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2Wildlife Conservation Section, Georgia Department of Natural Resources, Highway 278 SE Social Circle, GA 30025, USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3United States Fish and Wildlife Service, Ecological Services, 355 East Hancock Avenue Room 320, Athens, GA, 30601, USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4U.S. Geological Survey, Georgia Cooperative Fish & Wildlife Unit, Warnell School of Forestry and Natural Resources, University of Georgia, Athens, GA 30602, USA.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,site_num,site,date,type,timing,num_boxes,length_m,width_m,height_m,Latitude,Longitide,utmN,roost,species,age,sex,repro_status,mass,FA,Pd_area,Pd_known,vis_WNS,bat_temp,WDI,band_num,band_type,year,mass_loss,prop.loss
78,162,UGA Stadium Culvert,2/26/2021,Culvert,Late,2,312.1152,2.7432,1.8288,33.9489043,-83.37215247,3759025.02,O: Hole in ceiling,PESU,A,M,NR,5.09,33.23,Pd_pos,Pd_pos,No,12.6,0,GA0668,Recap,2021,-0.91,0.151666667
111,358,Scuffle Creek Culvert,3/17/2022,Culvert,Late,2,88.0872,1.524,1.8288,32.630035,-83.383176,3612781.208,SW,PESU,A,M,NR,4.74,32,Pd_pos,Pd_pos,No,16.6,0P,GA2320,Recap,2022,-0.85,0.152057245
146,NA,Black Diamond Tunnel,2/27/2020,Cave,Late,NA,NA,NA,NA,34.885789,-83.291323,3862772.345,,PESU,A,F,NR,5.5,34,WNS,WNS,No,NA,0,GA0739,Recap,2020,-1,0.153846154
106,358,Scuffle Creek Culvert,3/17/2022,Culvert,Late,2,88.0872,1.524,1.8288,32.630035,-83.383176,3612781.208,CK,PESU,A,M,NR,5.05,32.5,Pd_pos,Pd_pos,No,15.3,0,GA2257,Recap,2022,-0.93,0.155518395
108,358,Scuffle Creek Culvert,3/17/2022,Culvert,Late,2,88.0872,1.524,1.8288,32.630035,-83.383176,3612781.208,HC,PESU,A,M,NR,5.37,33,Pd_pos,Pd_pos,No,NA,0,GA2259,Recap,2022,-1,0.156985871
100,238,Red Creek Culvert,3/16/2022,Culvert,Late,4,64.9224,2.7432,2.7432,33.08629498,-83.9924132,3664836.993,CK,PESU,A,F,NR,4.9,34,Pd_pos,Pd_pos,No,12.7,1,GA2739,Recap,2022,-0.93,0.159519726
13,372,Emanuel County Creek Culvert,3/16/2022,Culvert,Late,3,86.868,3.048,2.4384,32.407955,-82.330166,3586433.465,HC,PESU,A,F,NR,5.68,32.5,Pd_neg,,No,17.2,0,GA2201,Recap,2022,-1.1,0.162241888
171,NA,White River Cave,3/9/2021,Cave,Late,NA,NA,NA,NA,34.03447,-85.01219,3773244.456,,PESU,A,M,NR,5.34,33,WNS,WNS,No,10.8,0,GA2102,Recap,2021,-1.05,0.164319249
14,372,Emanuel County Creek Culvert,3/16/2022,Culvert,Late,3,86.868,3.048,2.4384,32.407955,-82.330166,3586433.465,SW,PESU,A,M,NR,5.13,33.5,Pd_neg,,No,NA,0,GA2203,Recap,2022,-1.01,0.164495114
27,115,Little River Culvert,3/11/2022,Culvert,Late,3,71.0184,3.048,3.048,33.61134,-83.70878,3722352.835,HC,PESU,A,M,NR,4.87,34.72,Pd_pos,Pd_pos,No,15.8,0P,GA0681,Recap,2022,-0.97,0.16609589
